Bank Ticker,BAC,BAC,BAC,BAC,BAC,MS,MS,MS,MS,MS,C,C,C,C,C,WFC,WFC,WFC,WFC,WFC,GS,GS,GS,GS,GS,JPM,JPM,JPM,JPM,JPM
Stock Info,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-03-20,39.3095,39.5549,39.1857,39.4694,13359999.563844,39.5469,39.8961,39.4537,39.5841,5324854.3307108,392.659,394.803,391.426,392.219,1270084.7761287,23.415,23.4831,23.3173,23.4318,5234511.6388087,123.308,125.396,123.084,125.033,5960139.3553651,29.7837,29.9586,29.6707,29.8849,13062626.802584
2006-03-21,39.3458,39.5382,39.1503,39.1917,13990596.322775,39.6607,39.9521,39.2702,39.6175,7214111.9900207,391.426,392.924,389.84,390.75,1796269.540804,23.4614,23.5403,23.2759,23.3489,10146658.006859,124.562,124.896,122.397,122.73,5429217.2619229,29.7552,30.0735,29.5911,29.7041,18687685.234545
2006-03-22,39.0502,39.6719,39.0502,39.5461,13257220.991521,39.7597,40.6996,39.6763,40.6202,10807943.445407,388.068,395.556,388.068,394.47,1664407.1807146,23.0282,23.5788,23.0282,23.5236,10335350.014136,121.868,125.181,121.868,124.729,4589628.6686139,29.6953,30.4233,29.5587,30.3191,18746635.275763
2006-03-23,39.447,39.5382,39.2279,39.3025,12825539.990064,40.6996,40.6996,40.1669,40.3768,5517515.0136362,393.736,397.045,392.757,395.332,1665835.3039814,23.4614,23.4782,23.2541,23.3755,7332921.4401026,124.2,124.857,123.612,124.622,4689316.6066777,30.3191,30.4233,30.1501,30.3113,18012505.469519
2006-03-24,39.3683,39.5549,39.2692,39.4694,12453030.673032,40.3268,40.9067,40.16,40.3122,4759281.913899,395.155,397.192,393.481,395.644,1046698.9197268,23.3252,23.4248,23.2679,23.3834,7866495.7366714,124.622,125.338,123.975,125.033,3224716.7424941,30.272,30.5923,30.2179,30.3525,9988094.3497942
2006-03-27,39.3772,39.4951,39.278,39.4027,11994975.564283,40.2964,40.8566,40.2964,40.7389,4487510.4642464,394.147,395.723,393.002,394.245,1386364.4521608,23.2679,23.4032,23.2679,23.3686,6049586.1616128,124.994,127.65,124.994,127.336,5233256.5583546,30.1797,30.4233,30.1237,30.3594,10866612.314494
2006-03-28,39.2368,39.5648,38.6711,38.7644,19085563.680811,40.8203,41.4561,40.2758,40.6996,8717163.5557143,393.256,397.279,392.581,393.903,2119274.6566724,23.3489,23.3489,22.9808,23.0518,17686340.804259,127.346,129.67,126.65,126.65,7882872.3229427,30.2317,30.4321,29.9213,29.9655,21561244.003687
2006-03-29,38.8547,38.9677,38.4776,38.6878,13650405.979382,40.6928,41.4051,40.6702,41.2451,4768905.8765278,394.0,396.457,392.219,394.147,1688926.3614372,23.0202,23.2383,22.9206,23.1012,11101513.357081,127.268,129.473,127.209,128.886,5397328.7131259,30.0883,30.3398,29.7837,30.048,10848167.460882
2006-03-30,38.5435,38.7909,34.4454,38.3863,14403261.491043,40.9763,41.9338,40.9763,41.719,7048801.4224544,393.256,394.558,391.161,391.259,1643141.6284645,23.1012,23.2077,22.9926,23.0716,10787211.448899,129.61,131.11,127.954,128.816,5807022.8945792,29.9527,30.3113,29.6481,29.9439,11993682.341099
2006-03-31,38.4846,38.6466,38.2498,38.3264,12848352.065415,41.5454,42.1242,41.1265,41.1991,6368156.2976453,391.808,393.569,390.652,390.809,1489279.2235436,23.1308,23.1821,22.9542,22.9808,9764543.5943503,128.973,130.13,128.365,128.943,3996146.7769095,30.1237,30.2395,29.9213,30.0185,14297043.617533
2006-04-03,38.5897,38.898,38.4265,38.4442,14059389.973988,41.1991,41.9564,41.0165,41.4737,6215243.1307838,391.426,396.046,391.426,392.317,1384267.2153462,23.0202,23.2837,22.9996,23.1446,11460564.546152,129.816,131.335,128.904,129.934,4844017.6993681,30.2455,30.6139,30.1944,30.2317,15080139.1612
2006-04-04,38.5179,39.0502,38.4619,38.9598,10484029.433409,41.3589,42.2861,41.2059,42.1458,4868400.0370966,392.493,400.354,392.317,398.953,1947788.5159867,23.1446,23.4831,23.1249,23.3489,10387315.482647,129.934,132.589,129.934,132.285,6193589.4090982,29.9949,30.6139,29.9213,30.4783,17749537.290311
2006-04-05,38.8901,39.1917,38.8901,39.1769,12178792.909061,42.2822,42.6295,42.0036,42.1684,6578411.647262,399.678,401.078,398.288,399.346,1542374.1497191,23.3972,23.5403,23.3489,23.4318,9703127.4636054,131.864,133.031,131.443,132.08,5101681.091862,30.4046,30.7583,30.3113,30.6699,13168871.235847
2006-04-06,38.9932,39.2181,38.7546,38.8813,9262777.9226686,42.2174,42.5107,41.8612,42.293,4866623.4466643,397.71,398.611,394.392,395.948,1430114.2627105,23.341,23.3894,23.2235,23.3686,6090437.0189963,131.512,133.138,131.512,133.118,5088781.5963452,30.5628,30.6227,30.2965,30.4901,8636205.976406
2006-04-07,39.0589,39.1061,38.4265,38.4934,11177126.716792,42.1684,42.5481,41.6562,41.819,4258012.2857301,397.525,400.021,392.757,394.392,1517218.5449654,23.3686,23.4782,23.0518,23.1673,9017551.1315395,133.118,134.049,131.345,132.305,6040595.3925033,30.4635,30.5981,30.0136,30.0647,14915506.551914
2006-04-10,38.6299,38.7821,38.4098,38.4442,10812811.702516,41.8132,42.6295,41.6415,42.0977,4297633.4121131,396.369,399.266,394.715,396.644,1538827.3371422,23.2235,23.3755,23.1446,23.1752,6605385.6269685,133.5,134.775,132.638,133.472,5441025.983772,30.2317,30.4714,30.0559,30.1944,10276593.805597
2006-04-11,38.5022,38.7143,38.2498,38.3441,10183051.990542,41.925,42.0682,40.9527,41.1353,5101560.4585409,394.715,397.946,391.886,392.826,1233407.1382374,23.3035,23.3035,23.1101,23.1673,8444520.370814,133.912,134.157,130.217,130.776,6040470.9075758,30.2818,30.5323,29.9036,30.0018,12244858.47632
2006-04-12,38.3951,38.6466,38.3529,38.4776,8484022.8339852,41.1519,41.4992,41.1353,41.3658,3002810.8840571,393.08,395.792,392.924,393.903,948720.26538649,23.2077,23.2679,23.0716,23.1752,5684706.084576,131.11,131.707,130.14,131.021,4143180.8225098,30.1561,30.2641,30.0647,30.2121,8146876.35687
2006-04-13,38.4776,38.6554,38.3775,38.4846,9080625.5070569,41.4404,41.4737,41.1176,41.2991,3192052.9299716,392.317,398.699,392.317,397.623,1444977.7773974,23.1752,23.3035,23.0953,23.2679,6989165.001738,130.169,131.168,129.993,130.963,2668114.0207362,30.2533,30.5854,30.2179,30.4183,9089058.1267689
2006-04-17,38.6711,38.6711,38.0888,38.2734,12617601.029319,41.3167,41.925,41.3167,41.7131,4120669.5121241,400.608,401.842,398.865,400.089,2001027.4803457,23.2077,23.3548,23.0874,23.1949,9076740.8946104,131.658,134.089,131.443,133.05,4116036.9861121,30.4852,30.5549,30.1561,30.2818,11076741.754349
2006-04-18,38.2498,38.9677,38.183,38.678,19435020.602442,42.1164,43.1436,42.1164,43.0513,8407161.2661673,400.843,402.174,396.369,401.166,2179625.6340384,23.1012,23.4534,22.9581,23.4091,14512174.869079,133.717,136.539,132.551,135.999,5847429.4775935,30.4409,30.8211,30.3339,30.7141,15227994.190767
2006-04-19,38.6054,38.9147,38.5346,38.7546,12468005.870787,43.0847,43.1102,42.5549,42.7275,3602055.9580822,401.166,403.084,397.623,399.1,1746776.5907651,23.4091,23.4091,23.2383,23.2946,9311849.1717729,135.196,137.666,134.421,137.245,5435912.9184315,30.5707,30.9971,30.4969,30.7279,13104377.865188
2006-04-20,39.2181,39.4283,38.8066,38.952,20266539.180291,42.6933,43.07,42.6109,42.6109,3103696.3503862,399.346,403.182,399.346,399.678,2255505.1534494,23.2837,23.5482,23.2473,23.4032,10503755.424025,136.431,139.127,136.431,138.48,5956609.9015608,30.6423,30.9675,30.5549,30.7141,11700472.174932
2006-04-21,39.0089,39.5137,39.0089,39.447,19608738.395246,42.9219,42.9219,42.445,42.6451,4865738.7188988,401.254,401.254,395.498,397.279,1908280.1702467,23.5482,23.5551,23.2837,23.4032,10542661.629807,138.519,138.557,135.804,136.294,4371394.3463432,30.9155,30.9155,30.5707,30.6423,19046080.924146
2006-04-24,39.4283,39.6719,39.3095,39.6139,14933680.429389,42.5176,42.913,42.3273,42.8247,3912058.2476292,397.045,398.112,395.556,397.192,1628524.3067013,23.4032,23.5058,23.2897,23.4248,7871217.0143196,135.961,136.618,134.344,135.823,4176525.4368108,30.6483,30.8437,30.3967,30.7721,13142935.864176
